gene_id	TPM
CJI97_000001	9.363512
CJI97_000002	0.000000
CJI97_000003	9.840244
CJI97_000004	0.000000
CJI97_000005	7.974240
CJI97_000006	0.000000
CJI97_000007	1.868589
CJI97_000008	8.458109
CJI97_000009	4.082182
CJI97_000010	9.869672
CJI97_000011	12.148156
CJI97_000012	7.887177
CJI97_000013	70.521629
CJI97_000014	43.575512
CJI97_000015	18.433308
CJI97_000016	52.756596
CJI97_000017	111.792404
CJI97_000018	26.815393
CJI97_000019	47.904572
CJI97_000020	68.157898
CJI97_000021	79.544968
CJI97_000022	233.796448
CJI97_000023	29.291000
CJI97_000024	36.150970
CJI97_000025	42.066662
CJI97_000026	199.509735
CJI97_000027	2916.487549
CJI97_000028	60.366516
CJI97_000029	65.404312
CJI97_000030	270.126831
CJI97_000031	95.564323
CJI97_000032	95.585403
CJI97_000033	137.936157
CJI97_000034	195.635223
CJI97_000035	99.746437
CJI97_000036	166.785599
CJI97_000037	259.313049
CJI97_000038	276.646088
CJI97_000039	79.310242
CJI97_000040	20.804583
CJI97_000041	3.660812
CJI97_000042	3.833868
CJI97_000043	1.945896
CJI97_000044	48.230751
CJI97_000045	264.210724
CJI97_000046	35.327686
CJI97_000047	32.178467
CJI97_000048	27.115002
CJI97_000049	49.362770
CJI97_000050	53.328297
CJI97_000051	74.456001
CJI97_000052	71.574966
CJI97_000053	66.461769
CJI97_000054	23.852125
CJI97_000055	90.626411
CJI97_000056	2.124772
CJI97_000057	79.145126
CJI97_000058	247.727875
CJI97_000059	360.198761
CJI97_000060	70.256119
CJI97_000061	323.017975
CJI97_000062	35.679092
CJI97_000063	65.077789
CJI97_000064	327.474945
CJI97_000065	178.046158
CJI97_000066	98.278358
CJI97_000067	21.775778
CJI97_000068	17.132141
CJI97_000069	294.324524
CJI97_000070	1453.742432
CJI97_000071	81.783730
CJI97_000072	30.606234
CJI97_000073	137.007904
CJI97_000074	22.528444
CJI97_000075	49.801765
CJI97_000076	34.982868
CJI97_000077	1086.333130
CJI97_000078	45.742352
CJI97_000079	105.900711
CJI97_000080	333.947784
CJI97_000081	37.273869
CJI97_000082	2.412823
CJI97_000083	14.351988
CJI97_000084	0.000000
CJI97_000085	28.296875
CJI97_000086	170.978775
CJI97_000087	1338.484741
CJI97_000088	52.995514
CJI97_000089	839.009094
CJI97_000090	27.926012
CJI97_000091	21.225986
CJI97_000092	56.553982
CJI97_000093	125.934464
CJI97_000094	17.273693
CJI97_000095	1309.127075
CJI97_000096	1400.228149
CJI97_000097	19.211321
CJI97_000098	90.491669
CJI97_000099	16.180159
CJI97_000100	60.099079
CJI97_000101	12.416775
CJI97_000102	50.211052
CJI97_000103	98.658424
CJI97_000104	96.336235
CJI97_000105	54.920547
CJI97_000106	5.205262
CJI97_000107	1386.625854
CJI97_000108	21.981766
CJI97_000109	19.613134
CJI97_000110	98.744926
CJI97_000111	39.189323
CJI97_000112	2443.933105
CJI97_000113	72.611389
CJI97_000114	62.451263
CJI97_000115	15.470234
CJI97_000116	52.117371
CJI97_000117	148.874512
CJI97_000118	54.133404
CJI97_000119	101.003471
CJI97_000120	45.733284
CJI97_000121	0.000000
CJI97_000122	10.173282
CJI97_000123	63.061985
CJI97_000124	120.757774
CJI97_000125	12.882162
CJI97_000126	76.550148
CJI97_000127	29.501816
CJI97_000128	76.102264
CJI97_000129	34.168324
CJI97_000130	0.000000
CJI97_000131	0.000000
CJI97_000132	92.864525
CJI97_000133	10.548603
CJI97_000134	73.884033
CJI97_000135	35.987843
CJI97_000136	85.546356
CJI97_000137	48.937286
CJI97_000138	19.758505
CJI97_000139	93.801460
CJI97_000140	34.737820
CJI97_000141	944.613892
CJI97_000142	149.636475
CJI97_000143	50.636097
CJI97_000144	27.465311
CJI97_000145	1490.135376
CJI97_000146	194.980820
CJI97_000147	1916.310059
CJI97_000148	1409.393311
CJI97_000149	73.562187
CJI97_000150	167.553467
CJI97_000151	2.915138
CJI97_000152	34.809513
CJI97_000153	194.525192
CJI97_000154	68.031982
CJI97_000155	214.511536
CJI97_000156	23.662497
CJI97_000157	57.985912
CJI97_000158	75.005219
CJI97_000159	122.541145
CJI97_000160	70.461922
CJI97_000161	24.668827
CJI97_000162	55.206066
CJI97_000163	39.662033
CJI97_000164	37.174393
CJI97_000165	83.520096
CJI97_000166	28.308023
CJI97_000167	212.322266
CJI97_000168	44.603245
CJI97_000169	0.000000
CJI97_000170	0.000000
CJI97_000171	17.152714
CJI97_000172	4.617257
CJI97_000173	29.906370
CJI97_000174	39.513363
CJI97_000175	790.414795
CJI97_000176	157.282791
CJI97_000177	16.193855
CJI97_000178	58.721546
CJI97_000179	80.419075
CJI97_000180	243.524811
CJI97_000181	11.174224
CJI97_000182	39.939190
CJI97_000183	25.165758
CJI97_000184	104.965439
CJI97_000185	83.566391
CJI97_000186	63.380424
CJI97_000187	1865.690796
CJI97_000188	177.117523
CJI97_000189	154.043121
CJI97_000190	33.667248
CJI97_000191	85.660507
CJI97_000192	0.000000
CJI97_000193	52.292736
CJI97_000194	30.032434
CJI97_000195	10.819596
CJI97_000196	27.830948
CJI97_000197	183.809555
CJI97_000198	66.495346
CJI97_000199	6.585891
CJI97_000200	0.000000
CJI97_000201	106.947556
CJI97_000202	17.941360
CJI97_000203	33.434620
CJI97_000204	40.592148
CJI97_000205	22.890121
CJI97_000206	1342.921753
CJI97_000207	93.337547
CJI97_000208	72.332901
CJI97_000209	17.113693
CJI97_000210	13.122850
CJI97_000211	40.571922
CJI97_000212	893.737793
CJI97_000213	79.449577
CJI97_000214	19.843063
CJI97_000215	0.000000
CJI97_000216	135.081772
CJI97_000217	13.473392
CJI97_000218	134.804947
CJI97_000219	114.735870
CJI97_000220	0.000000
CJI97_000221	0.000000
CJI97_000222	108.652779
CJI97_000223	81.154709
CJI97_000224	54.520088
CJI97_000225	44.826500
CJI97_000226	37.891689
CJI97_000227	328.073395
CJI97_000228	68.395119
CJI97_000229	94.483711
CJI97_000230	83.254707
CJI97_000231	169.842102
CJI97_000232	47.425632
CJI97_000233	20.397003
CJI97_000234	42.400562
CJI97_000235	23.426546
CJI97_000236	38.299068
CJI97_000237	178.117722
CJI97_000238	38.904438
CJI97_000239	513.713013
CJI97_000240	32.347393
CJI97_000241	47.191708
CJI97_000242	49.857929
CJI97_000243	32.882450
CJI97_000244	345.335785
CJI97_000245	6.432203
CJI97_000246	17.323036
CJI97_000247	47.387432
CJI97_000248	48.946148
CJI97_000249	21.650129
CJI97_000250	0.000000
CJI97_000251	75.484497
CJI97_000252	150.754272
CJI97_000253	79.014671
CJI97_000254	534.618408
CJI97_000255	2214.421387
CJI97_000256	67.751701
CJI97_000257	109.144135
CJI97_000258	10.987010
CJI97_000259	72.998306
CJI97_000260	94.725563
CJI97_000261	79.939545
CJI97_000262	625.467224
CJI97_000263	125.600624
CJI97_000264	27.586065
CJI97_000265	240.908127
CJI97_000266	0.000000
CJI97_000267	6.559566
CJI97_000268	100.203934
CJI97_000269	440.157349
CJI97_000270	151.743256
CJI97_000271	171.946823
CJI97_000272	182.808548
CJI97_000273	64.601013
CJI97_000274	76.681900
CJI97_000275	13866.716797
CJI97_000276	247.971954
CJI97_000277	81.420853
CJI97_000278	28.144804
CJI97_000279	27.417950
CJI97_000280	77.335686
CJI97_000281	74.657318
CJI97_000282	91.235893
CJI97_000283	37.820450
CJI97_000284	174.013702
CJI97_000285	29.121412
CJI97_000286	257.724854
CJI97_000287	20.214706
CJI97_000288	41.308872
CJI97_000289	127.622284
CJI97_000290	46.400921
CJI97_000291	58.474037
CJI97_000292	64.510071
CJI97_000293	89.754333
CJI97_000294	107.072182
CJI97_000295	55.560455
CJI97_000296	137.984711
CJI97_000297	76.657532
CJI97_000298	27.952269
CJI97_000299	68.684814
CJI97_000300	123.416130
CJI97_000301	31.995544
CJI97_000302	108.882240
CJI97_000303	65.358994
CJI97_000304	0.000000
CJI97_000305	0.000000
CJI97_000306	89.923813
CJI97_000307	183.737564
CJI97_000308	15.921803
CJI97_000309	80.560783
CJI97_000310	111.443268
CJI97_000311	45.508068
CJI97_000312	39.038513
CJI97_000313	24.144497
CJI97_000314	39.603283
CJI97_000315	119.413559
CJI97_000316	59.319511
CJI97_000317	34.746353
CJI97_000318	0.000000
CJI97_000319	7.521115
CJI97_000320	178.382736
CJI97_000321	1.932899
CJI97_000322	6.225789
CJI97_000323	193.845947
CJI97_000324	80.708092
CJI97_000325	25.590082
CJI97_000326	88.398201
CJI97_000327	25.083717
CJI97_000328	59.770046
CJI97_000329	29.140778
CJI97_000330	93.369247
CJI97_000331	152.019501
CJI97_000332	73.756706
CJI97_000333	17.790232
CJI97_000334	174.563232
CJI97_000335	24.409834
CJI97_000336	64.441589
CJI97_000337	228.081085
CJI97_000338	59.197380
CJI97_000339	1266.408813
CJI97_000340	41.226501
CJI97_000341	82.031517
CJI97_000342	28.542408
CJI97_000343	116.867561
CJI97_000344	140.754471
CJI97_000345	44.330517
CJI97_000346	2055.161621
CJI97_000347	61.523212
CJI97_000348	50.902290
CJI97_000349	3.527259
CJI97_000350	27.716400
CJI97_000351	177.292816
CJI97_000352	29.094559
CJI97_000353	103.406128
CJI97_000354	247.572617
CJI97_000355	30.287914
CJI97_000356	38.199818
CJI97_000357	5.215608
CJI97_000358	295.482269
CJI97_000359	48.322723
CJI97_000360	92.321671
CJI97_000361	27.704866
CJI97_000362	114.306465
CJI97_000363	12.849488
CJI97_000364	31.779972
CJI97_000365	3.893589
CJI97_000366	54.132324
CJI97_000367	243.962906
CJI97_000368	14.689998
CJI97_000369	35.385895
CJI97_000370	89.183487
CJI97_000371	33.581760
CJI97_000372	0.000000
CJI97_000373	31.306097
CJI97_000374	55.843807
CJI97_000375	350.537628
CJI97_000376	135.314346
CJI97_000377	41.225334
CJI97_000378	75.524178
CJI97_000379	137.696655
CJI97_000380	17.107243
CJI97_000381	137.083588
CJI97_000382	1462.541748
CJI97_000383	296.761627
CJI97_000384	1176.563354
CJI97_000385	61.815834
CJI97_000386	0.000000
CJI97_000387	0.000000
CJI97_000388	30.314318
CJI97_000389	32.311810
CJI97_000390	5.721147
CJI97_000391	101.173492
CJI97_000392	92.758873
CJI97_000393	54.496704
CJI97_000394	30.628855
CJI97_000395	70.181625
CJI97_000396	24.005592
CJI97_000397	96.668983
CJI97_000398	55.031311
CJI97_000399	22.319330
