gene_id	TPM
CJI97_000001	5.342796
CJI97_000002	0.000000
CJI97_000003	6.493910
CJI97_000004	0.000000
CJI97_000005	5.526785
CJI97_000006	0.000000
CJI97_000007	0.000000
CJI97_000008	14.247792
CJI97_000009	6.426470
CJI97_000010	13.137500
CJI97_000011	10.204364
CJI97_000012	10.716518
CJI97_000013	73.972633
CJI97_000014	40.918533
CJI97_000015	57.246399
CJI97_000016	104.294960
CJI97_000017	297.976105
CJI97_000018	68.156212
CJI97_000019	97.181404
CJI97_000020	37.276520
CJI97_000021	87.301178
CJI97_000022	179.606339
CJI97_000023	71.436424
CJI97_000024	68.784218
CJI97_000025	59.778904
CJI97_000026	126.489342
CJI97_000027	2258.147217
CJI97_000028	101.719742
CJI97_000029	102.912117
CJI97_000030	389.816986
CJI97_000031	133.395721
CJI97_000032	176.819077
CJI97_000033	152.712418
CJI97_000034	259.371063
CJI97_000035	102.085968
CJI97_000036	122.471542
CJI97_000037	1084.750854
CJI97_000038	709.053223
CJI97_000039	145.905777
CJI97_000040	21.930973
CJI97_000041	15.636437
CJI97_000042	4.817657
CJI97_000043	24.275331
CJI97_000044	53.655785
CJI97_000045	470.587799
CJI97_000046	56.829708
CJI97_000047	35.855999
CJI97_000048	39.434536
CJI97_000049	117.916046
CJI97_000050	70.693985
CJI97_000051	68.064468
CJI97_000052	145.040878
CJI97_000053	88.560135
CJI97_000054	41.375332
CJI97_000055	330.786865
CJI97_000056	2.380208
CJI97_000057	55.569588
CJI97_000058	267.384430
CJI97_000059	238.097885
CJI97_000060	137.659958
CJI97_000061	497.145660
CJI97_000062	61.278809
CJI97_000063	52.322311
CJI97_000064	385.208435
CJI97_000065	101.338005
CJI97_000066	101.174301
CJI97_000067	24.571537
CJI97_000068	29.403273
CJI97_000069	612.705688
CJI97_000070	356.659332
CJI97_000071	109.668060
CJI97_000072	116.406403
CJI97_000073	180.592453
CJI97_000074	35.293938
CJI97_000075	97.297585
CJI97_000076	52.043091
CJI97_000077	686.134949
CJI97_000078	43.204632
CJI97_000079	154.691971
CJI97_000080	355.344208
CJI97_000081	72.240402
CJI97_000082	10.634632
CJI97_000083	67.793381
CJI97_000084	0.000000
CJI97_000085	25.771048
CJI97_000086	248.194595
CJI97_000087	784.498169
CJI97_000088	85.507721
CJI97_000089	524.397522
CJI97_000090	21.967764
CJI97_000091	28.084860
CJI97_000092	58.982929
CJI97_000093	130.116302
CJI97_000094	34.931355
CJI97_000095	346.742432
CJI97_000096	344.312561
CJI97_000097	26.937895
CJI97_000098	111.740860
CJI97_000099	31.494432
CJI97_000100	53.437759
CJI97_000101	79.026802
CJI97_000102	42.117447
CJI97_000103	207.593857
CJI97_000104	136.006378
CJI97_000105	79.074181
CJI97_000106	19.869625
CJI97_000107	462.416595
CJI97_000108	22.849369
CJI97_000109	41.556423
CJI97_000110	128.995026
CJI97_000111	40.479538
CJI97_000112	509.661469
CJI97_000113	156.968109
CJI97_000114	93.196777
CJI97_000115	27.242943
CJI97_000116	38.952969
CJI97_000117	183.046951
CJI97_000118	99.470131
CJI97_000119	98.684540
CJI97_000120	46.658077
CJI97_000121	0.000000
CJI97_000122	11.792699
CJI97_000123	73.174126
CJI97_000124	149.553513
CJI97_000125	10.293841
CJI97_000126	79.063446
CJI97_000127	62.385662
CJI97_000128	86.032265
CJI97_000129	8.620465
CJI97_000130	0.000000
CJI97_000131	0.000000
CJI97_000132	162.037354
CJI97_000133	31.177664
CJI97_000134	74.958618
CJI97_000135	54.313091
CJI97_000136	186.939697
CJI97_000137	84.171188
CJI97_000138	22.930437
CJI97_000139	215.958099
CJI97_000140	62.857052
CJI97_000141	164.600159
CJI97_000142	138.685898
CJI97_000143	66.144028
CJI97_000144	57.839043
CJI97_000145	827.196228
CJI97_000146	190.877777
CJI97_000147	518.852478
CJI97_000148	1014.370239
CJI97_000149	132.124619
CJI97_000150	168.984268
CJI97_000151	16.378326
CJI97_000152	38.037205
CJI97_000153	496.535675
CJI97_000154	67.005585
CJI97_000155	532.412415
CJI97_000156	38.270638
CJI97_000157	315.660309
CJI97_000158	86.658859
CJI97_000159	54.233147
CJI97_000160	238.046509
CJI97_000161	21.018316
CJI97_000162	57.784641
CJI97_000163	58.954403
CJI97_000164	49.897572
CJI97_000165	166.396484
CJI97_000166	31.611687
CJI97_000167	2602.184326
CJI97_000168	59.700531
CJI97_000169	0.000000
CJI97_000170	2.501712
CJI97_000171	142.472092
CJI97_000172	23.555586
CJI97_000173	46.285583
CJI97_000174	74.802071
CJI97_000175	367.660339
CJI97_000176	387.462036
CJI97_000177	373.398743
CJI97_000178	89.410439
CJI97_000179	191.378586
CJI97_000180	1423.732178
CJI97_000181	12.171579
CJI97_000182	35.393024
CJI97_000183	36.190910
CJI97_000184	170.566208
CJI97_000185	153.887634
CJI97_000186	147.094193
CJI97_000187	503.565643
CJI97_000188	139.742020
CJI97_000189	116.201950
CJI97_000190	38.502655
CJI97_000191	104.098450
CJI97_000192	0.000000
CJI97_000193	45.675930
CJI97_000194	44.352818
CJI97_000195	7.645637
CJI97_000196	49.279018
CJI97_000197	285.766083
CJI97_000198	105.618843
CJI97_000199	45.366779
CJI97_000200	2.138287
CJI97_000201	159.884903
CJI97_000202	16.225269
CJI97_000203	32.278023
CJI97_000204	41.574139
CJI97_000205	25.949167
CJI97_000206	443.995728
CJI97_000207	149.170303
CJI97_000208	73.969879
CJI97_000209	28.451296
CJI97_000210	12.913798
CJI97_000211	47.375320
CJI97_000212	240.765884
CJI97_000213	1516.797119
CJI97_000214	47.862659
CJI97_000215	0.000000
CJI97_000216	155.929657
CJI97_000217	19.567110
CJI97_000218	165.609131
CJI97_000219	49.934525
CJI97_000220	0.000000
CJI97_000221	0.000000
CJI97_000222	663.299133
CJI97_000223	907.294983
CJI97_000224	120.435844
CJI97_000225	66.411682
CJI97_000226	45.049004
CJI97_000227	108.807060
CJI97_000228	81.275131
CJI97_000229	51.092106
CJI97_000230	208.791107
CJI97_000231	273.662720
CJI97_000232	58.835835
CJI97_000233	31.151735
CJI97_000234	24.585217
CJI97_000235	45.986935
CJI97_000236	65.761009
CJI97_000237	268.318512
CJI97_000238	112.042778
CJI97_000239	510.251068
CJI97_000240	85.187592
CJI97_000241	67.402702
CJI97_000242	53.199726
CJI97_000243	43.673359
CJI97_000244	595.627136
CJI97_000245	40.159374
CJI97_000246	8.021256
CJI97_000247	93.234360
CJI97_000248	58.993256
CJI97_000249	19.295443
CJI97_000250	0.000000
CJI97_000251	86.672256
CJI97_000252	224.817047
CJI97_000253	173.797195
CJI97_000254	431.713806
CJI97_000255	372.593109
CJI97_000256	51.870926
CJI97_000257	156.797760
CJI97_000258	9.354432
CJI97_000259	110.661453
CJI97_000260	56.887383
CJI97_000261	98.286896
CJI97_000262	170.167130
CJI97_000263	165.085464
CJI97_000264	78.318657
CJI97_000265	231.385330
CJI97_000266	0.000000
CJI97_000267	728.200500
CJI97_000268	70.639023
CJI97_000269	347.263397
CJI97_000270	191.086914
CJI97_000271	191.412720
CJI97_000272	84.889862
CJI97_000273	51.282124
CJI97_000274	55.783379
CJI97_000275	7381.324707
CJI97_000276	429.625854
CJI97_000277	63.968731
CJI97_000278	45.501190
CJI97_000279	39.364624
CJI97_000280	177.732407
CJI97_000281	112.018715
CJI97_000282	132.751007
CJI97_000283	61.257641
CJI97_000284	256.149384
CJI97_000285	68.664886
CJI97_000286	212.662872
CJI97_000287	8.023219
CJI97_000288	160.235931
CJI97_000289	129.832748
CJI97_000290	56.992928
CJI97_000291	65.931038
CJI97_000292	102.762665
CJI97_000293	132.341415
CJI97_000294	68.396858
CJI97_000295	65.108871
CJI97_000296	223.247879
CJI97_000297	143.149628
CJI97_000298	31.225510
CJI97_000299	88.408257
CJI97_000300	111.391640
CJI97_000301	62.102291
CJI97_000302	89.140160
CJI97_000303	141.697586
CJI97_000304	0.000000
CJI97_000305	0.000000
CJI97_000306	74.926971
CJI97_000307	873.445679
CJI97_000308	19.721529
CJI97_000309	122.131477
CJI97_000310	131.787933
